id,tipo_tramite_id,clasificacion_tramite_numero,nombre,requiere_declaracion,categoria,activo
1,1,1,AUMENTO/DISMINUCIÓN CAMBIO DE ACTIVIDAD ECONÓMICA Y/O TRABAJADORES,0,TRÁMITE,1
1,1,2,FACTURACIÓN,0,TRÁMITE,1
1,2,1,IMPUESTO SOBRE NÓMINAS,1,TRÁMITE,1
1,2,3,IMPUESTO SOBRE NÓMINAS,0,TRÁMITE,1
1,2,4,IMPUESTO SOBRE NÓMINAS,0,TRÁMITE,1
1,2,5,IMPUESTO SOBRE NÓMINAS,1,TRÁMITE,1
1,2,6,IMPUESTO SOBRE NÓMINAS,0,ASESORÍA,1
1,2,8,IMPUESTO SOBRE NÓMINAS,0,ASESORÍA,1
1,2,9,IMPUESTO SOBRE NÓMINAS,0,ASESORÍA,1
1,3,1,PERSONAS FÍSICAS,0,ASESORÍA,1
2,1,1,CAMBIO DE DOMICILIO FISCAL,0,TRÁMITE,1
2,1,2,DECLARACION BIMESTRAL,1,TRÁMITE,1
2,2,1,RETENEDOR IMPUESTO SOBRE NÓMINAS (serivicios especializados),1,TRÁMITE,1
2,2,3,RETENEDOR IMPUESTO SOBRE NÓMINAS (serivicios especializados),0,TRÁMITE,1
2,2,4,RETENEDOR IMPUESTO SOBRE NÓMINAS (serivicios especializados),0,TRÁMITE,1
2,2,5,RETENEDOR IMPUESTO SOBRE NÓMINAS (serivicios especializados),1,TRÁMITE,1
2,2,6,RETENEDOR IMPUESTO SOBRE NÓMINAS (serivicios especializados),0,ASESORÍA,1
2,2,8,RETENEDOR IMPUESTO SOBRE NÓMINAS (serivicios especializados),0,ASESORÍA,1
2,2,9,RETENEDOR IMPUESTO SOBRE NÓMINAS (serivicios especializados),0,ASESORÍA,1
2,3,1,PERSONAS MORALES,0,ASESORÍA,1
3,1,1,APERTURA DE ESTABLECIMIENTO O SUCURSAL,0,TRÁMITE,1
3,2,1,IMPUESTO SOBRE HOSPEDAJE,1,TRÁMITE,1
3,2,3,IMPUESTO SOBRE HOSPEDAJE,0,TRÁMITE,1
